"index","county","report","offense","action","year","value"
"9","El Dorado","Actions","Felony","Removed from Probation",2008,809
"9","El Dorado","Actions","Felony","Terminated",2008,414
"9","El Dorado","Actions","Felony","Revoked",2008,284
"9","El Dorado","Actions","Felony","Other",2008,111
"9","El Dorado","Actions","Misdemeanor","Placed on Probation",2008,271
"9","El Dorado","Actions","Misdemeanor","Removed from Probation",2008,248
"9","El Dorado","Actions","Misdemeanor","Terminated",2008,148
"9","El Dorado","Actions","Misdemeanor","Revoked",2008,59
"9","El Dorado","Actions","Misdemeanor","Other",2008,41
"9","El Dorado","Caseload","Total",NA,2009,1590
"9","El Dorado","Caseload","Felony",NA,2009,1284
"9","El Dorado","Caseload","Misdemeanor",NA,2009,306
"9","El Dorado","Actions","Total","Placed on Probation",2009,962
"9","El Dorado","Actions","Total","Removed from Probation",2009,816
"9","El Dorado","Actions","Total","Terminated",2009,384
"9","El Dorado","Actions","Total","Revoked",2009,319
"9","El Dorado","Actions","Total","Other",2009,113
"9","El Dorado","Actions","Felony","Placed on Probation",2009,806
"9","El Dorado","Actions","Felony","Removed from Probation",2009,675
"9","El Dorado","Actions","Felony","Terminated",2009,320
"9","El Dorado","Actions","Felony","Revoked",2009,268
"9","El Dorado","Actions","Felony","Other",2009,87
"9","El Dorado","Actions","Misdemeanor","Placed on Probation",2009,156
"9","El Dorado","Actions","Misdemeanor","Removed from Probation",2009,141
"9","El Dorado","Actions","Misdemeanor","Terminated",2009,64
"9","El Dorado","Actions","Misdemeanor","Revoked",2009,51
"9","El Dorado","Actions","Misdemeanor","Other",2009,26
"9","El Dorado","Caseload","Total",NA,2010,1601
"9","El Dorado","Caseload","Felony",NA,2010,1296
"9","El Dorado","Caseload","Misdemeanor",NA,2010,305
"9","El Dorado","Actions","Total","Placed on Probation",2010,640
"9","El Dorado","Actions","Total","Removed from Probation",2010,629
"9","El Dorado","Actions","Total","Terminated",2010,468
"9","El Dorado","Actions","Total","Revoked",2010,142
"9","El Dorado","Actions","Total","Other",2010,19
"9","El Dorado","Actions","Felony","Placed on Probation",2010,493
"9","El Dorado","Actions","Felony","Removed from Probation",2010,481
"9","El Dorado","Actions","Felony","Terminated",2010,352
"9","El Dorado","Actions","Felony","Revoked",2010,111
"9","El Dorado","Actions","Felony","Other",2010,18
"9","El Dorado","Actions","Misdemeanor","Placed on Probation",2010,147
"9","El Dorado","Actions","Misdemeanor","Removed from Probation",2010,148
"9","El Dorado","Actions","Misdemeanor","Terminated",2010,116
"9","El Dorado","Actions","Misdemeanor","Revoked",2010,31
"9","El Dorado","Actions","Misdemeanor","Other",2010,1
"9","El Dorado","Caseload","Total",NA,2011,1119
"9","El Dorado","Caseload","Felony",NA,2011,996
"9","El Dorado","Caseload","Misdemeanor",NA,2011,123
"9","El Dorado","Actions","Total","Placed on Probation",2011,694
"9","El Dorado","Actions","Total","Removed from Probation",2011,641
"9","El Dorado","Actions","Total","Terminated",2011,288
"9","El Dorado","Actions","Total","Revoked",2011,217
"9","El Dorado","Actions","Total","Other",2011,136
"9","El Dorado","Actions","Felony","Placed on Probation",2011,563
"9","El Dorado","Actions","Felony","Removed from Probation",2011,529
"9","El Dorado","Actions","Felony","Terminated",2011,217
"9","El Dorado","Actions","Felony","Revoked",2011,184
"9","El Dorado","Actions","Felony","Other",2011,128
"9","El Dorado","Actions","Misdemeanor","Placed on Probation",2011,131
"9","El Dorado","Actions","Misdemeanor","Removed from Probation",2011,112
"9","El Dorado","Actions","Misdemeanor","Terminated",2011,71
"9","El Dorado","Actions","Misdemeanor","Revoked",2011,33
"9","El Dorado","Actions","Misdemeanor","Other",2011,8
"9","El Dorado","Caseload","Total",NA,2012,1132
"9","El Dorado","Caseload","Felony",NA,2012,1014
"9","El Dorado","Caseload","Misdemeanor",NA,2012,118
"9","El Dorado","Actions","Total","Placed on Probation",2012,742
"9","El Dorado","Actions","Total","Removed from Probation",2012,654
"9","El Dorado","Actions","Total","Terminated",2012,320
"9","El Dorado","Actions","Total","Revoked",2012,203
"9","El Dorado","Actions","Total","Other",2012,131
"9","El Dorado","Actions","Felony","Placed on Probation",2012,617
"9","El Dorado","Actions","Felony","Removed from Probation",2012,541
"9","El Dorado","Actions","Felony","Terminated",2012,259
"9","El Dorado","Actions","Felony","Revoked",2012,163
"9","El Dorado","Actions","Felony","Other",2012,119
"9","El Dorado","Actions","Misdemeanor","Placed on Probation",2012,125
"9","El Dorado","Actions","Misdemeanor","Removed from Probation",2012,113
"9","El Dorado","Actions","Misdemeanor","Terminated",2012,61
"9","El Dorado","Actions","Misdemeanor","Revoked",2012,40
"9","El Dorado","Actions","Misdemeanor","Other",2012,12
"9","El Dorado","Caseload","Total",NA,2013,1126
"9","El Dorado","Caseload","Felony",NA,2013,1000
"9","El Dorado","Caseload","Misdemeanor",NA,2013,126
"9","El Dorado","Actions","Total","Placed on Probation",2013,601
"9","El Dorado","Actions","Total","Removed from Probation",2013,587
"9","El Dorado","Actions","Total","Terminated",2013,272
"9","El Dorado","Actions","Total","Revoked",2013,199
"9","El Dorado","Actions","Total","Other",2013,116
"9","El Dorado","Actions","Felony","Placed on Probation",2013,464
"9","El Dorado","Actions","Felony","Removed from Probation",2013,479
"9","El Dorado","Actions","Felony","Terminated",2013,218
"9","El Dorado","Actions","Felony","Revoked",2013,150
"9","El Dorado","Actions","Felony","Other",2013,111
"9","El Dorado","Actions","Misdemeanor","Placed on Probation",2013,137
"9","El Dorado","Actions","Misdemeanor","Removed from Probation",2013,108
"9","El Dorado","Actions","Misdemeanor","Terminated",2013,54
"9","El Dorado","Actions","Misdemeanor","Revoked",2013,49
"9","El Dorado","Actions","Misdemeanor","Other",2013,5
"9","El Dorado","Caseload","Total",NA,2014,1131
"9","El Dorado","Caseload","Felony",NA,2014,1021
"9","El Dorado","Caseload","Misdemeanor",NA,2014,110
"9","El Dorado","Actions","Total","Placed on Probation",2014,675
"9","El Dorado","Actions","Total","Removed from Probation",2014,532
"9","El Dorado","Actions","Total","Terminated",2014,266
"9","El Dorado","Actions","Total","Revoked",2014,154
"9","El Dorado","Actions","Total","Other",2014,112
"9","El Dorado","Actions","Felony","Placed on Probation",2014,535
"9","El Dorado","Actions","Felony","Removed from Probation",2014,434
"9","El Dorado","Actions","Felony","Terminated",2014,215
"9","El Dorado","Actions","Felony","Revoked",2014,121
"9","El Dorado","Actions","Felony","Other",2014,98
"9","El Dorado","Actions","Misdemeanor","Placed on Probation",2014,140
"9","El Dorado","Actions","Misdemeanor","Removed from Probation",2014,98
"9","El Dorado","Actions","Misdemeanor","Terminated",2014,51
"9","El Dorado","Actions","Misdemeanor","Revoked",2014,33
"9","El Dorado","Actions","Misdemeanor","Other",2014,14
"10","Fresno","Caseload","Total",NA,2005,9762
"10","Fresno","Caseload","Felony",NA,2005,7473
"10","Fresno","Caseload","Misdemeanor",NA,2005,2289
"10","Fresno","Actions","Total","Placed on Probation",2005,8611
"10","Fresno","Actions","Total","Removed from Probation",2005,9574
"10","Fresno","Actions","Total","Terminated",2005,3119
"10","Fresno","Actions","Total","Revoked",2005,6410
"10","Fresno","Actions","Total","Other",2005,45
"10","Fresno","Actions","Felony","Placed on Probation",2005,6461
"10","Fresno","Actions","Felony","Removed from Probation",2005,7324
"10","Fresno","Actions","Felony","Terminated",2005,2018
"10","Fresno","Actions","Felony","Revoked",2005,5263
"10","Fresno","Actions","Felony","Other",2005,43
"10","Fresno","Actions","Misdemeanor","Placed on Probation",2005,2150
"10","Fresno","Actions","Misdemeanor","Removed from Probation",2005,2250
"10","Fresno","Actions","Misdemeanor","Terminated",2005,1101
"10","Fresno","Actions","Misdemeanor","Revoked",2005,1147
"10","Fresno","Actions","Misdemeanor","Other",2005,2
"10","Fresno","Caseload","Total",NA,2006,9577
"10","Fresno","Caseload","Felony",NA,2006,7341
"10","Fresno","Caseload","Misdemeanor",NA,2006,2236
"10","Fresno","Actions","Total","Placed on Probation",2006,8758
"10","Fresno","Actions","Total","Removed from Probation",2006,8988
"10","Fresno","Actions","Total","Terminated",2006,3148
"10","Fresno","Actions","Total","Revoked",2006,5805
"10","Fresno","Actions","Total","Other",2006,35
"10","Fresno","Actions","Felony","Placed on Probation",2006,6666
"10","Fresno","Actions","Felony","Removed from Probation",2006,6905
"10","Fresno","Actions","Felony","Terminated",2006,2138
"10","Fresno","Actions","Felony","Revoked",2006,4735
"10","Fresno","Actions","Felony","Other",2006,32
"10","Fresno","Actions","Misdemeanor","Placed on Probation",2006,2092
"10","Fresno","Actions","Misdemeanor","Removed from Probation",2006,2083
"10","Fresno","Actions","Misdemeanor","Terminated",2006,1010
"10","Fresno","Actions","Misdemeanor","Revoked",2006,1070
"10","Fresno","Actions","Misdemeanor","Other",2006,3
"10","Fresno","Caseload","Total",NA,2007,9247
"10","Fresno","Caseload","Felony",NA,2007,6820
"10","Fresno","Caseload","Misdemeanor",NA,2007,2427
"10","Fresno","Actions","Total","Placed on Probation",2007,8879
"10","Fresno","Actions","Total","Removed from Probation",2007,9209
"10","Fresno","Actions","Total","Terminated",2007,3677
"10","Fresno","Actions","Total","Revoked",2007,5514
"10","Fresno","Actions","Total","Other",2007,18
"10","Fresno","Actions","Felony","Placed on Probation",2007,7039
"10","Fresno","Actions","Felony","Removed from Probation",2007,7560
"10","Fresno","Actions","Felony","Terminated",2007,2808
"10","Fresno","Actions","Felony","Revoked",2007,4736
"10","Fresno","Actions","Felony","Other",2007,16
"10","Fresno","Actions","Misdemeanor","Placed on Probation",2007,1840
"10","Fresno","Actions","Misdemeanor","Removed from Probation",2007,1649
"10","Fresno","Actions","Misdemeanor","Terminated",2007,869
"10","Fresno","Actions","Misdemeanor","Revoked",2007,778
"10","Fresno","Actions","Misdemeanor","Other",2007,2
"10","Fresno","Caseload","Total",NA,2008,9077
"10","Fresno","Caseload","Felony",NA,2008,6519
"10","Fresno","Caseload","Misdemeanor",NA,2008,2558
"10","Fresno","Actions","Total","Placed on Probation",2008,9753
"10","Fresno","Actions","Total","Removed from Probation",2008,9923
"10","Fresno","Actions","Total","Terminated",2008,4199
"10","Fresno","Actions","Total","Revoked",2008,5690
"10","Fresno","Actions","Total","Other",2008,34
"10","Fresno","Actions","Felony","Placed on Probation",2008,6741
"10","Fresno","Actions","Felony","Removed from Probation",2008,7042
"10","Fresno","Actions","Felony","Terminated",2008,2750
"10","Fresno","Actions","Felony","Revoked",2008,4259
"10","Fresno","Actions","Felony","Other",2008,33
"10","Fresno","Actions","Misdemeanor","Placed on Probation",2008,3012
"10","Fresno","Actions","Misdemeanor","Removed from Probation",2008,2881
"10","Fresno","Actions","Misdemeanor","Terminated",2008,1449
"10","Fresno","Actions","Misdemeanor","Revoked",2008,1431
"10","Fresno","Actions","Misdemeanor","Other",2008,1
"10","Fresno","Caseload","Total",NA,2009,8253
"10","Fresno","Caseload","Felony",NA,2009,6000
"10","Fresno","Caseload","Misdemeanor",NA,2009,2253
"10","Fresno","Actions","Total","Placed on Probation",2009,7719
"10","Fresno","Actions","Total","Removed from Probation",2009,8543
"10","Fresno","Actions","Total","Terminated",2009,3910
"10","Fresno","Actions","Total","Revoked",2009,4602
"10","Fresno","Actions","Total","Other",2009,31
"10","Fresno","Actions","Felony","Placed on Probation",2009,5602
"10","Fresno","Actions","Felony","Removed from Probation",2009,6121
"10","Fresno","Actions","Felony","Terminated",2009,2720
"10","Fresno","Actions","Felony","Revoked",2009,3371
"10","Fresno","Actions","Felony","Other",2009,30
"10","Fresno","Actions","Misdemeanor","Placed on Probation",2009,2117
"10","Fresno","Actions","Misdemeanor","Removed from Probation",2009,2422
"10","Fresno","Actions","Misdemeanor","Terminated",2009,1190
"10","Fresno","Actions","Misdemeanor","Revoked",2009,1231
"10","Fresno","Actions","Misdemeanor","Other",2009,1
"10","Fresno","Caseload","Total",NA,2010,6894
"10","Fresno","Caseload","Felony",NA,2010,5010
"10","Fresno","Caseload","Misdemeanor",NA,2010,1884
"10","Fresno","Actions","Total","Placed on Probation",2010,5254
"10","Fresno","Actions","Total","Removed from Probation",2010,6613
"10","Fresno","Actions","Total","Terminated",2010,2928
"10","Fresno","Actions","Total","Revoked",2010,3600
"10","Fresno","Actions","Total","Other",2010,85
"10","Fresno","Actions","Felony","Placed on Probation",2010,3822
"10","Fresno","Actions","Felony","Removed from Probation",2010,4812
"10","Fresno","Actions","Felony","Terminated",2010,2100
"10","Fresno","Actions","Felony","Revoked",2010,2631
"10","Fresno","Actions","Felony","Other",2010,81
"10","Fresno","Actions","Misdemeanor","Placed on Probation",2010,1432
"10","Fresno","Actions","Misdemeanor","Removed from Probation",2010,1801
"10","Fresno","Actions","Misdemeanor","Terminated",2010,828
"10","Fresno","Actions","Misdemeanor","Revoked",2010,969
"10","Fresno","Actions","Misdemeanor","Other",2010,4
"10","Fresno","Caseload","Total",NA,2011,6257
"10","Fresno","Caseload","Felony",NA,2011,4460
"10","Fresno","Caseload","Misdemeanor",NA,2011,1797
"10","Fresno","Actions","Total","Placed on Probation",2011,5103
"10","Fresno","Actions","Total","Removed from Probation",2011,5740
"10","Fresno","Actions","Total","Terminated",2011,2294
"10","Fresno","Actions","Total","Revoked",2011,3336
"10","Fresno","Actions","Total","Other",2011,110
"10","Fresno","Actions","Felony","Placed on Probation",2011,4058
"10","Fresno","Actions","Felony","Removed from Probation",2011,4608
"10","Fresno","Actions","Felony","Terminated",2011,1764
"10","Fresno","Actions","Felony","Revoked",2011,2739
"10","Fresno","Actions","Felony","Other",2011,105
"10","Fresno","Actions","Misdemeanor","Placed on Probation",2011,1045
"10","Fresno","Actions","Misdemeanor","Removed from Probation",2011,1132
"10","Fresno","Actions","Misdemeanor","Terminated",2011,530
"10","Fresno","Actions","Misdemeanor","Revoked",2011,597
"10","Fresno","Actions","Misdemeanor","Other",2011,5
"10","Fresno","Caseload","Total",NA,2012,6352
"10","Fresno","Caseload","Felony",NA,2012,4548
"10","Fresno","Caseload","Misdemeanor",NA,2012,1804
"10","Fresno","Actions","Total","Placed on Probation",2012,5272
"10","Fresno","Actions","Total","Removed from Probation",2012,5177
"10","Fresno","Actions","Total","Terminated",2012,1845
"10","Fresno","Actions","Total","Revoked",2012,3239
"10","Fresno","Actions","Total","Other",2012,93
"10","Fresno","Actions","Felony","Placed on Probation",2012,4126
"10","Fresno","Actions","Felony","Removed from Probation",2012,4038
"10","Fresno","Actions","Felony","Terminated",2012,1343
"10","Fresno","Actions","Felony","Revoked",2012,2606
"10","Fresno","Actions","Felony","Other",2012,89
"10","Fresno","Actions","Misdemeanor","Placed on Probation",2012,1146
"10","Fresno","Actions","Misdemeanor","Removed from Probation",2012,1139
"10","Fresno","Actions","Misdemeanor","Terminated",2012,502
"10","Fresno","Actions","Misdemeanor","Revoked",2012,633
"10","Fresno","Actions","Misdemeanor","Other",2012,4
"10","Fresno","Caseload","Total",NA,2013,7220
"10","Fresno","Caseload","Felony",NA,2013,5348
"10","Fresno","Caseload","Misdemeanor",NA,2013,1872
"10","Fresno","Actions","Total","Placed on Probation",2013,6979
"10","Fresno","Actions","Total","Removed from Probation",2013,6111
"10","Fresno","Actions","Total","Terminated",2013,1899
"10","Fresno","Actions","Total","Revoked",2013,4073
"10","Fresno","Actions","Total","Other",2013,139
"10","Fresno","Actions","Felony","Placed on Probation",2013,5594
"10","Fresno","Actions","Felony","Removed from Probation",2013,4794
"10","Fresno","Actions","Felony","Terminated",2013,1451
"10","Fresno","Actions","Felony","Revoked",2013,3213
"10","Fresno","Actions","Felony","Other",2013,130
"10","Fresno","Actions","Misdemeanor","Placed on Probation",2013,1385
"10","Fresno","Actions","Misdemeanor","Removed from Probation",2013,1317
"10","Fresno","Actions","Misdemeanor","Terminated",2013,448
"10","Fresno","Actions","Misdemeanor","Revoked",2013,860
"10","Fresno","Actions","Misdemeanor","Other",2013,9
"10","Fresno","Caseload","Total",NA,2014,7903
"10","Fresno","Caseload","Felony",NA,2014,5923
"10","Fresno","Caseload","Misdemeanor",NA,2014,1980
"10","Fresno","Actions","Total","Placed on Probation",2014,7181
"10","Fresno","Actions","Total","Removed from Probation",2014,6498
"10","Fresno","Actions","Total","Terminated",2014,2048
"10","Fresno","Actions","Total","Revoked",2014,4313
"10","Fresno","Actions","Total","Other",2014,137
"10","Fresno","Actions","Felony","Placed on Probation",2014,5777
"10","Fresno","Actions","Felony","Removed from Probation",2014,5202
"10","Fresno","Actions","Felony","Terminated",2014,1510
"10","Fresno","Actions","Felony","Revoked",2014,3583
"10","Fresno","Actions","Felony","Other",2014,109
"10","Fresno","Actions","Misdemeanor","Placed on Probation",2014,1404
"10","Fresno","Actions","Misdemeanor","Removed from Probation",2014,1296
"10","Fresno","Actions","Misdemeanor","Terminated",2014,538
"10","Fresno","Actions","Misdemeanor","Revoked",2014,730
"10","Fresno","Actions","Misdemeanor","Other",2014,28
"11","Glenn","Caseload","Total",NA,2005,1215
"11","Glenn","Caseload","Felony",NA,2005,774
"11","Glenn","Caseload","Misdemeanor",NA,2005,441
"11","Glenn","Actions","Total","Placed on Probation",2005,313
"11","Glenn","Actions","Total","Removed from Probation",2005,50
"11","Glenn","Actions","Total","Terminated",2005,7
"11","Glenn","Actions","Total","Revoked",2005,9
"11","Glenn","Actions","Total","Other",2005,34
"11","Glenn","Actions","Felony","Placed on Probation",2005,204
"11","Glenn","Actions","Felony","Removed from Probation",2005,46
"11","Glenn","Actions","Felony","Terminated",2005,3
"11","Glenn","Actions","Felony","Revoked",2005,9
"11","Glenn","Actions","Felony","Other",2005,34
"11","Glenn","Actions","Misdemeanor","Placed on Probation",2005,109
"11","Glenn","Actions","Misdemeanor","Removed from Probation",2005,4
"11","Glenn","Actions","Misdemeanor","Terminated",2005,4
"11","Glenn","Actions","Misdemeanor","Revoked",2005,0
"11","Glenn","Actions","Misdemeanor","Other",2005,0
"11","Glenn","Caseload","Total",NA,2006,1351
"11","Glenn","Caseload","Felony",NA,2006,833
"11","Glenn","Caseload","Misdemeanor",NA,2006,518
"11","Glenn","Actions","Total","Placed on Probation",2006,204
"11","Glenn","Actions","Total","Removed from Probation",2006,66
"11","Glenn","Actions","Total","Terminated",2006,14
"11","Glenn","Actions","Total","Revoked",2006,6
"11","Glenn","Actions","Total","Other",2006,46
"11","Glenn","Actions","Felony","Placed on Probation",2006,113
"11","Glenn","Actions","Felony","Removed from Probation",2006,54
"11","Glenn","Actions","Felony","Terminated",2006,8
"11","Glenn","Actions","Felony","Revoked",2006,0
"11","Glenn","Actions","Felony","Other",2006,46
"11","Glenn","Actions","Misdemeanor","Placed on Probation",2006,91
"11","Glenn","Actions","Misdemeanor","Removed from Probation",2006,12
"11","Glenn","Actions","Misdemeanor","Terminated",2006,6
"11","Glenn","Actions","Misdemeanor","Revoked",2006,6
"11","Glenn","Actions","Misdemeanor","Other",2006,0
"11","Glenn","Caseload","Total",NA,2007,1501
"11","Glenn","Caseload","Felony",NA,2007,883
"11","Glenn","Caseload","Misdemeanor",NA,2007,618
"11","Glenn","Actions","Total","Placed on Probation",2007,208
"11","Glenn","Actions","Total","Removed from Probation",2007,58
"11","Glenn","Actions","Total","Terminated",2007,21
"11","Glenn","Actions","Total","Revoked",2007,10
"11","Glenn","Actions","Total","Other",2007,27
"11","Glenn","Actions","Felony","Placed on Probation",2007,102
"11","Glenn","Actions","Felony","Removed from Probation",2007,52
"11","Glenn","Actions","Felony","Terminated",2007,16
"11","Glenn","Actions","Felony","Revoked",2007,9
"11","Glenn","Actions","Felony","Other",2007,27
"11","Glenn","Actions","Misdemeanor","Placed on Probation",2007,106
"11","Glenn","Actions","Misdemeanor","Removed from Probation",2007,6
"11","Glenn","Actions","Misdemeanor","Terminated",2007,5
"11","Glenn","Actions","Misdemeanor","Revoked",2007,1
"11","Glenn","Actions","Misdemeanor","Other",2007,0
"11","Glenn","Caseload","Total",NA,2008,1618
"11","Glenn","Caseload","Felony",NA,2008,946
"11","Glenn","Caseload","Misdemeanor",NA,2008,672
"11","Glenn","Actions","Total","Placed on Probation",2008,143
"11","Glenn","Actions","Total","Removed from Probation",2008,36
"11","Glenn","Actions","Total","Terminated",2008,18
"11","Glenn","Actions","Total","Revoked",2008,1
"11","Glenn","Actions","Total","Other",2008,17
"11","Glenn","Actions","Felony","Placed on Probation",2008,85
"11","Glenn","Actions","Felony","Removed from Probation",2008,28
"11","Glenn","Actions","Felony","Terminated",2008,11
"11","Glenn","Actions","Felony","Revoked",2008,0
"11","Glenn","Actions","Felony","Other",2008,17
"11","Glenn","Actions","Misdemeanor","Placed on Probation",2008,58
"11","Glenn","Actions","Misdemeanor","Removed from Probation",2008,8
"11","Glenn","Actions","Misdemeanor","Terminated",2008,7
"11","Glenn","Actions","Misdemeanor","Revoked",2008,1
"11","Glenn","Actions","Misdemeanor","Other",2008,0
"11","Glenn","Caseload","Total",NA,2009,1736
"11","Glenn","Caseload","Felony",NA,2009,1009
"11","Glenn","Caseload","Misdemeanor",NA,2009,727
"11","Glenn","Actions","Total","Placed on Probation",2009,142
"11","Glenn","Actions","Total","Removed from Probation",2009,24
"11","Glenn","Actions","Total","Terminated",2009,8
"11","Glenn","Actions","Total","Revoked",2009,8
"11","Glenn","Actions","Total","Other",2009,8
"11","Glenn","Actions","Felony","Placed on Probation",2009,82
"11","Glenn","Actions","Felony","Removed from Probation",2009,19
"11","Glenn","Actions","Felony","Terminated",2009,6
"11","Glenn","Actions","Felony","Revoked",2009,5
"11","Glenn","Actions","Felony","Other",2009,8
"11","Glenn","Actions","Misdemeanor","Placed on Probation",2009,60
"11","Glenn","Actions","Misdemeanor","Removed from Probation",2009,5
"11","Glenn","Actions","Misdemeanor","Terminated",2009,2
"11","Glenn","Actions","Misdemeanor","Revoked",2009,3
"11","Glenn","Actions","Misdemeanor","Other",2009,0
"11","Glenn","Caseload","Total",NA,2010,1855
"11","Glenn","Caseload","Felony",NA,2010,1068
"11","Glenn","Caseload","Misdemeanor",NA,2010,787
"11","Glenn","Actions","Total","Placed on Probation",2010,186
"11","Glenn","Actions","Total","Removed from Probation",2010,67
"11","Glenn","Actions","Total","Terminated",2010,11
"11","Glenn","Actions","Total","Revoked",2010,4
"11","Glenn","Actions","Total","Other",2010,52
"11","Glenn","Actions","Felony","Placed on Probation",2010,118
"11","Glenn","Actions","Felony","Removed from Probation",2010,59
"11","Glenn","Actions","Felony","Terminated",2010,7
"11","Glenn","Actions","Felony","Revoked",2010,1
"11","Glenn","Actions","Felony","Other",2010,51
"11","Glenn","Actions","Misdemeanor","Placed on Probation",2010,68
"11","Glenn","Actions","Misdemeanor","Removed from Probation",2010,8
"11","Glenn","Actions","Misdemeanor","Terminated",2010,4
"11","Glenn","Actions","Misdemeanor","Revoked",2010,3
"11","Glenn","Actions","Misdemeanor","Other",2010,1
"11","Glenn","Caseload","Total",NA,2011,1760
"11","Glenn","Caseload","Felony",NA,2011,1022
"11","Glenn","Caseload","Misdemeanor",NA,2011,738
"11","Glenn","Actions","Total","Placed on Probation",2011,131
"11","Glenn","Actions","Total","Removed from Probation",2011,226
"11","Glenn","Actions","Total","Terminated",2011,142
"11","Glenn","Actions","Total","Revoked",2011,15
"11","Glenn","Actions","Total","Other",2011,69
"11","Glenn","Actions","Felony","Placed on Probation",2011,92
"11","Glenn","Actions","Felony","Removed from Probation",2011,138
"11","Glenn","Actions","Felony","Terminated",2011,69
"11","Glenn","Actions","Felony","Revoked",2011,6
"11","Glenn","Actions","Felony","Other",2011,63
"11","Glenn","Actions","Misdemeanor","Placed on Probation",2011,39
"11","Glenn","Actions","Misdemeanor","Removed from Probation",2011,88
"11","Glenn","Actions","Misdemeanor","Terminated",2011,73
"11","Glenn","Actions","Misdemeanor","Revoked",2011,9
"11","Glenn","Actions","Misdemeanor","Other",2011,6
"11","Glenn","Caseload","Total",NA,2012,670
"11","Glenn","Caseload","Felony",NA,2012,453
"11","Glenn","Caseload","Misdemeanor",NA,2012,217
"11","Glenn","Actions","Total","Placed on Probation",2012,248
"11","Glenn","Actions","Total","Removed from Probation",2012,131
"11","Glenn","Actions","Total","Terminated",2012,79
"11","Glenn","Actions","Total","Revoked",2012,13
"11","Glenn","Actions","Total","Other",2012,39
"11","Glenn","Actions","Felony","Placed on Probation",2012,189
"11","Glenn","Actions","Felony","Removed from Probation",2012,107
"11","Glenn","Actions","Felony","Terminated",2012,60
"11","Glenn","Actions","Felony","Revoked",2012,10
"11","Glenn","Actions","Felony","Other",2012,37
"11","Glenn","Actions","Misdemeanor","Placed on Probation",2012,59
"11","Glenn","Actions","Misdemeanor","Removed from Probation",2012,24
"11","Glenn","Actions","Misdemeanor","Terminated",2012,19
"11","Glenn","Actions","Misdemeanor","Revoked",2012,3
"11","Glenn","Actions","Misdemeanor","Other",2012,2
"11","Glenn","Caseload","Total",NA,2013,334
"11","Glenn","Caseload","Felony",NA,2013,232
"11","Glenn","Caseload","Misdemeanor",NA,2013,102
"11","Glenn","Actions","Total","Placed on Probation",2013,204
"11","Glenn","Actions","Total","Removed from Probation",2013,177
"11","Glenn","Actions","Total","Terminated",2013,80
"11","Glenn","Actions","Total","Revoked",2013,9
"11","Glenn","Actions","Total","Other",2013,88
"11","Glenn","Actions","Felony","Placed on Probation",2013,141
"11","Glenn","Actions","Felony","Removed from Probation",2013,113
"11","Glenn","Actions","Felony","Terminated",2013,40
"11","Glenn","Actions","Felony","Revoked",2013,7
"11","Glenn","Actions","Felony","Other",2013,66
"11","Glenn","Actions","Misdemeanor","Placed on Probation",2013,63
"11","Glenn","Actions","Misdemeanor","Removed from Probation",2013,64
"11","Glenn","Actions","Misdemeanor","Terminated",2013,40
"11","Glenn","Actions","Misdemeanor","Revoked",2013,2
"11","Glenn","Actions","Misdemeanor","Other",2013,22
"11","Glenn","Caseload","Total",NA,2014,233
"11","Glenn","Caseload","Felony",NA,2014,181
"11","Glenn","Caseload","Misdemeanor",NA,2014,52
"11","Glenn","Actions","Total","Placed on Probation",2014,248
"11","Glenn","Actions","Total","Removed from Probation",2014,349
"11","Glenn","Actions","Total","Terminated",2014,73
"11","Glenn","Actions","Total","Revoked",2014,140
"11","Glenn","Actions","Total","Other",2014,136
"11","Glenn","Actions","Felony","Placed on Probation",2014,176
"11","Glenn","Actions","Felony","Removed from Probation",2014,227
"11","Glenn","Actions","Felony","Terminated",2014,50
"11","Glenn","Actions","Felony","Revoked",2014,90
"11","Glenn","Actions","Felony","Other",2014,87
"11","Glenn","Actions","Misdemeanor","Placed on Probation",2014,72
"11","Glenn","Actions","Misdemeanor","Removed from Probation",2014,122
"11","Glenn","Actions","Misdemeanor","Terminated",2014,23
"11","Glenn","Actions","Misdemeanor","Revoked",2014,50
"11","Glenn","Actions","Misdemeanor","Other",2014,49
"12","Humboldt","Caseload","Total",NA,2005,1583
"12","Humboldt","Caseload","Felony",NA,2005,1546
"12","Humboldt","Caseload","Misdemeanor",NA,2005,37
"12","Humboldt","Actions","Total","Placed on Probation",2005,438
"12","Humboldt","Actions","Total","Removed from Probation",2005,413
"12","Humboldt","Actions","Total","Terminated",2005,264
"12","Humboldt","Actions","Total","Revoked",2005,122
"12","Humboldt","Actions","Total","Other",2005,27
"12","Humboldt","Actions","Felony","Placed on Probation",2005,435
"12","Humboldt","Actions","Felony","Removed from Probation",2005,390
"12","Humboldt","Actions","Felony","Terminated",2005,246
"12","Humboldt","Actions","Felony","Revoked",2005,119
"12","Humboldt","Actions","Felony","Other",2005,25
"12","Humboldt","Actions","Misdemeanor","Placed on Probation",2005,3
"12","Humboldt","Actions","Misdemeanor","Removed from Probation",2005,23
"12","Humboldt","Actions","Misdemeanor","Terminated",2005,18
"12","Humboldt","Actions","Misdemeanor","Revoked",2005,3
"12","Humboldt","Actions","Misdemeanor","Other",2005,2
"12","Humboldt","Caseload","Total",NA,2006,1398
"12","Humboldt","Caseload","Felony",NA,2006,1360
