"index","county","report","offense","action","year","value"
"1","Alameda","Actions","Felony","Removed from Probation",2010,5635
"1","Alameda","Actions","Felony","Terminated",2010,2505
"1","Alameda","Actions","Felony","Revoked",2010,1173
"1","Alameda","Actions","Felony","Other",2010,1957
"1","Alameda","Actions","Misdemeanor","Placed on Probation",2010,204
"1","Alameda","Actions","Misdemeanor","Removed from Probation",2010,413
"1","Alameda","Actions","Misdemeanor","Terminated",2010,92
"1","Alameda","Actions","Misdemeanor","Revoked",2010,110
"1","Alameda","Actions","Misdemeanor","Other",2010,211
"1","Alameda","Caseload","Total",NA,2011,14020
"1","Alameda","Caseload","Felony",NA,2011,13556
"1","Alameda","Caseload","Misdemeanor",NA,2011,464
"1","Alameda","Actions","Total","Placed on Probation",2011,4410
"1","Alameda","Actions","Total","Removed from Probation",2011,5063
"1","Alameda","Actions","Total","Terminated",2011,2440
"1","Alameda","Actions","Total","Revoked",2011,1038
"1","Alameda","Actions","Total","Other",2011,1585
"1","Alameda","Actions","Felony","Placed on Probation",2011,4293
"1","Alameda","Actions","Felony","Removed from Probation",2011,4905
"1","Alameda","Actions","Felony","Terminated",2011,2355
"1","Alameda","Actions","Felony","Revoked",2011,1005
"1","Alameda","Actions","Felony","Other",2011,1545
"1","Alameda","Actions","Misdemeanor","Placed on Probation",2011,117
"1","Alameda","Actions","Misdemeanor","Removed from Probation",2011,158
"1","Alameda","Actions","Misdemeanor","Terminated",2011,85
"1","Alameda","Actions","Misdemeanor","Revoked",2011,33
"1","Alameda","Actions","Misdemeanor","Other",2011,40
"1","Alameda","Caseload","Total",NA,2012,13577
"1","Alameda","Caseload","Felony",NA,2012,13143
"1","Alameda","Caseload","Misdemeanor",NA,2012,434
"1","Alameda","Actions","Total","Placed on Probation",2012,4980
"1","Alameda","Actions","Total","Removed from Probation",2012,5423
"1","Alameda","Actions","Total","Terminated",2012,2446
"1","Alameda","Actions","Total","Revoked",2012,1120
"1","Alameda","Actions","Total","Other",2012,1857
"1","Alameda","Actions","Felony","Placed on Probation",2012,4855
"1","Alameda","Actions","Felony","Removed from Probation",2012,5268
"1","Alameda","Actions","Felony","Terminated",2012,2331
"1","Alameda","Actions","Felony","Revoked",2012,1109
"1","Alameda","Actions","Felony","Other",2012,1828
"1","Alameda","Actions","Misdemeanor","Placed on Probation",2012,125
"1","Alameda","Actions","Misdemeanor","Removed from Probation",2012,155
"1","Alameda","Actions","Misdemeanor","Terminated",2012,115
"1","Alameda","Actions","Misdemeanor","Revoked",2012,11
"1","Alameda","Actions","Misdemeanor","Other",2012,29
"1","Alameda","Caseload","Total",NA,2013,13471
"1","Alameda","Caseload","Felony",NA,2013,13029
"1","Alameda","Caseload","Misdemeanor",NA,2013,442
"1","Alameda","Actions","Total","Placed on Probation",2013,4780
"1","Alameda","Actions","Total","Removed from Probation",2013,4886
"1","Alameda","Actions","Total","Terminated",2013,2143
"1","Alameda","Actions","Total","Revoked",2013,1368
"1","Alameda","Actions","Total","Other",2013,1375
